Job Title,Job Link,Agency,Location,Pay,Section,latitude,longitude,google_maps_url,MinAnnualSalary,MaxAnnualSalary
GIS Manager,https://www.governmentjobs.com/jobs/119627-1/gis-manager,"City of Boulder, CO","Boulder, CO","Full-Time - $93,683.20 - $139,152.00 Annually",GIS,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",93683.2,139152.0
Junior Ranger Crew Lead,https://www.governmentjobs.com/jobs/119625-1/junior-ranger-crew-lead,"City of Boulder, CO","Boulder, CO",Full-Time - $17.78 - $24.88 Hourly,Parks & Recreation,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",36982.4,51750.4
Landscape Crew Member I (Valmont City Park),https://www.governmentjobs.com/jobs/119624-1/landscape-crew-member-i-valmont-city-park,"City of Boulder, CO","Boulder, CO",Full-Time - $16.25 - $22.75 Hourly,Parks & Recreation,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",33800.0,47320.0
Part Time Landscape Crew Member I (Valmont City Park),https://www.governmentjobs.com/jobs/119623-1/part-time-landscape-crew-member-i-valmont-city-park,"City of Boulder, CO","Boulder, CO",Part-Time - $16.25 - $22.75 Hourly,Parks & Recreation,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",33800.0,47320.0
Junior Ranger Crew Member,https://www.governmentjobs.com/jobs/119618-1/junior-ranger-crew-member,"City of Boulder, CO","Boulder, CO",Part-Time - $15.57 - $20.05 Hourly,Parks & Recreation,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",32385.600000000002,41704.0
Trail Crew Member,https://www.governmentjobs.com/jobs/119612-1/trail-crew-member,"City of Boulder, CO","Boulder, CO",Full-Time - $23.11 - $33.53 Hourly,Parks & Recreation,40.0149856,-105.270545,"https://www.google.com/maps/search/?api=1&query=40.0149856,-105.270545",48068.799999999996,69742.40000000001
Hatchery Specialist - Wells,https://www.governmentjobs.com/jobs/119566-1/hatchery-specialist-wells,Douglas County PUD,"Pateros, WA","Full-Time Regular - $53,458.00 - $66,822.00 Annually",Fish & Wildlife,48.0524342,-119.9033759,"https://www.google.com/maps/search/?api=1&query=48.0524342,-119.9033759",53458.0,66822.0
General Services Environmental Specialist - R19196,https://www.governmentjobs.com/jobs/119561-1/general-services-environmental-specialist-r19196,Sarasota County Government,"Sarasota, FL","Full-Time - $53,456.00 - $56,000.00 Annually",Environmental,27.3365805,-82.5308545,"https://www.google.com/maps/search/?api=1&query=27.3365805,-82.5308545",53456.0,56000.0
"Fish and Wildlife Technician 3 (Port Sampler-PCN 111733, 111345)",https://www.governmentjobs.com/jobs/4858331-0/fish-and-wildlife-technician-3-port-sampler-pcn-111733-111345,State of Alaska,"Ketchikan, AK",Seasonal - $21.50 Hourly,Fish & Wildlife,55.3430696,-131.6466819,"https://www.google.com/maps/search/?api=1&query=55.3430696,-131.6466819",,44720.0
Senior Environmental Health Specialist,https://www.governmentjobs.com/jobs/4858262-0/senior-environmental-health-specialist,County of Mendocino,"Fort Bragg, CA","Full-time Permanent - $67,641.60 - $82,222.40 Annually",Environmental,39.4436579,-123.8057607,"https://www.google.com/maps/search/?api=1&query=39.4436579,-123.8057607",67641.6,82222.4
GIS Web Services Administrator (IT System Admin – Journey),https://www.governmentjobs.com/jobs/4857830-0/gis-web-services-administrator-it-system-admin-journey,State of Washington,"Thurston County – Tumwater, WA","Full Time - Permanent - $85,764.00 - $115,344.00 Annually",GIS,46.952756300000004,-122.93861625,"https://www.google.com/maps/search/?api=1&query=46.952756300000004,-122.93861625",85764.0,115344.0
Senior Air Quality Specialist (Meteorology and Measurement) Limited Term,https://www.governmentjobs.com/jobs/4858895-0/senior-air-quality-specialist-meteorology-and-measurement-limited-term,Bay Area Air Quality Management District,"San Francisco, CA","Full Time - $125,685.16 - $152,771.09 Annually",Environmental,37.7792588,-122.4193286,"https://www.google.com/maps/search/?api=1&query=37.7792588,-122.4193286",125685.16,152771.09
Environmental Health Specialist I/II,https://www.governmentjobs.com/jobs/4857654-0/environmental-health-specialist-i-ii,County of Siskiyou,"Yreka, CA","Permanent Full Time - $56,035.20 - $82,243.20 Annually",Environmental,41.732616,-122.637766,"https://www.google.com/maps/search/?api=1&query=41.732616,-122.637766",56035.2,82243.2
Plant Operator,https://www.governmentjobs.com/jobs/4789648-0/plant-operator,City of Richland,"Wastewater Treatment Facility: 555 Lacy Rd. - Richland, WA",Regular Full-Time (Non-Exempt) - $32.73 - $38.33 Hourly,Water,46.2804298,-119.275205,"https://www.google.com/maps/search/?api=1&query=46.2804298,-119.275205",68078.4,79726.4
"Human Services Supervisor - DP - DHS - East Kern Regions (Lake Isabella, Mojave, Ridgecrest)",https://www.governmentjobs.com/jobs/4853317-0/human-services-supervisor-dp-dhs-east-kern-regions-lake-isabella-mojave,Kern County,"Depending on Assignment, CA","Full time - $4,966.78 - $5,935.76 Monthly",Natural Resources,,,,4966.78,5935.76
"Parks, Recreation, and Open Space Director",https://www.governmentjobs.com/jobs/119427-1/parks-recreation-and-open-space-director,City of Castle Pines,"Castle Pines, CO","Full-Time - $132,023.00 - $160,029.00 Annually",Parks & Recreation,39.471362150000004,-104.89517293539437,"https://www.google.com/maps/search/?api=1&query=39.471362150000004,-104.89517293539437",132023.0,160029.0
Environmental Protection Specialist I (Greenhouse Gas and Air Quality Specialist) - Denver,https://www.governmentjobs.com/jobs/4832498-0/environmental-protection-specialist-i-greenhouse-gas-and-air-quality-specialist,State of Colorado,"Denver, CO","Full Time - $64,440.00 - $70,884.00 Annually",Environmental,39.7392364,-104.984862,"https://www.google.com/maps/search/?api=1&query=39.7392364,-104.984862",64440.0,70884.0
"Water Plant Operator, Sr. - $3,000 Hiring Bonus",https://www.governmentjobs.com/jobs/4858589-0/water-plant-operator-sr-3-000-hiring-bonus,City of Glendale (AZ),"Glendale, AZ","Full Time - $60,103.16 - $90,155.00 Annually",Water,33.5386858,-112.185994,"https://www.google.com/maps/search/?api=1&query=33.5386858,-112.185994",60103.16,90155.0
Great Outdoor Waterpark Customer Service Associate & Lead Customer Service Associate,https://www.governmentjobs.com/jobs/4849605-0/great-outdoor-waterpark-customer-service-associate-lead-customer-service-associ,"City of Lafayette, Colorado","Great Outdoors Water Park - Lafayette, CO",Part Time Seasonal - $16.39 - $20.79 Hourly,Parks & Recreation,,,,34091.200000000004,43243.2
"Seasonal Parks, Forestry and Open Space Technician (SEA)",https://www.governmentjobs.com/jobs/4857871-0/seasonal-parks-forestry-and-open-space-technician-sea,The Town of Parker,"CO 80134, CO",Seasonal - $20.40 - $23.97 Hourly,Parks & Recreation,39.75260385,-105.22287559016559,"https://www.google.com/maps/search/?api=1&query=39.75260385,-105.22287559016559",42432.0,49857.6
Seasonal Laborer-Streets/Forestry,https://www.governmentjobs.com/jobs/3044224-0/seasonal-laborer-streets-forestry,City of Williston,"Williston, ND",Seasonal - $17.00 Hourly,Forestry,48.1465457,-103.621814,"https://www.google.com/maps/search/?api=1&query=48.1465457,-103.621814",,35360.0
Environmental Health and Safety Instructor,https://www.governmentjobs.com/jobs/4858816-0/environmental-health-and-safety-instructor,Full-time - Depends on Qualifications,"AR ENVIRONMENTAL TRAINING ACADEMY, AR",,Environmental,,,,,
Seasonal Wildlife Sanctuary Nature Center Spec. - Gift Shop,https://www.governmentjobs.com/jobs/4858479-0/seasonal-wildlife-sanctuary-nature-center-spec-gift-shop,City of Green Bay,"Green Bay, WI",Seasonal - $13.26 - $15.30 Hourly,Fish & Wildlife,44.5126379,-88.0125794,"https://www.google.com/maps/search/?api=1&query=44.5126379,-88.0125794",27580.8,31824.0
Senior GIS Specialist,https://www.governmentjobs.com/jobs/4857318-0/senior-gis-specialist,"Panama City, City of (FL)","Panama City, FL","Full- Time - $64,396.80 Annually",GIS,30.1586518,-85.6602936,"https://www.google.com/maps/search/?api=1&query=30.1586518,-85.6602936",,64396.8
Environmental Specialist - Water Resources,https://www.governmentjobs.com/jobs/4855602-0/environmental-specialist-water-resources,Dakota County,"Apple Valley, MN","Full-Time - $70,518.00 - $110,185.00 Annually",Environmental,44.7319094,-93.21772,"https://www.google.com/maps/search/?api=1&query=44.7319094,-93.21772",70518.0,110185.0
Park Ranger Supervisor (Travis County Employees Only),https://www.governmentjobs.com/jobs/4855866-0/park-ranger-supervisor-travis-county-employees-only,Travis County,"Austin, TX","Full Time - $90,649.37 - $111,487.29 Annually",Parks & Recreation,30.2711286,-97.7436995,"https://www.google.com/maps/search/?api=1&query=30.2711286,-97.7436995",90649.37,111487.29
Park Ranger Assistant (Recreation Activity Instructor),https://www.governmentjobs.com/jobs/4453787-0/park-ranger-assistant-recreation-activity-instructor,City of Norfolk,"Norfolk, VA","Intermittent Temporary - $1,300.00 Biweekly",Parks & Recreation,36.8493695,-76.2899539,"https://www.google.com/maps/search/?api=1&query=36.8493695,-76.2899539",,1300.0
Water Treatment Plant Operator,https://www.governmentjobs.com/jobs/4858237-0/water-treatment-plant-operator,Albemarle,"Albemarle, NC","Full-time Regular - $40,580.80 - $51,729.60 Annually",Water,35.3501426,-80.2000578,"https://www.google.com/maps/search/?api=1&query=35.3501426,-80.2000578",40580.8,51729.6
CO-OP/INTERN 4 (Water Quality & Treatment),https://www.governmentjobs.com/jobs/4858464-0/co-op-intern-4-water-quality-treatment,City of Cincinnati,"Ohio 45202, OH","Part-time Classified - $35,776.00 - $52,208.00 Annually",Environmental,39.2142709,-84.58606657903724,"https://www.google.com/maps/search/?api=1&query=39.2142709,-84.58606657903724",35776.0,52208.0
Green Swamp Conservation Technician I,https://www.governmentjobs.com/jobs/4735428-0/green-swamp-conservation-technician-i,State of North Carolina,"Brunswick County, NC","Permanent Full-Time - $32,639.00 - $57,117.00 Annually",Natural Resources,34.0718195,-78.1914215,"https://www.google.com/maps/search/?api=1&query=34.0718195,-78.1914215",32639.0,57117.0
"Park Resource Ranger, DCNR (Seasonal)- Codorus State Park",https://www.governmentjobs.com/jobs/4853751-0/park-resource-ranger-dcnr-seasonal-codorus-state-park,Commonwealth of Pennsylvania,"York County, PA",Civil Service Seasonal Full-Time - $18.05 Hourly,Parks & Recreation,39.973143050000004,-76.74297462376592,"https://www.google.com/maps/search/?api=1&query=39.973143050000004,-76.74297462376592",,37544.0
Geospatial Information System (GIS) Section Supervisor (Natural Resource Program Supervisor),https://www.governmentjobs.com/jobs/4851989-0/geospatial-information-system-gis-section-supervisor-natural-resource-program,Commonwealth of Pennsylvania,"Dauphin County, PA","Civil Service Permanent Full-Time - $75,678.00 - $114,915.00 Annually",GIS,40.398036,-76.8115168,"https://www.google.com/maps/search/?api=1&query=40.398036,-76.8115168",75678.0,114915.0
Environmental Education Specialist (Permanent) - Forbes Forest District,https://www.governmentjobs.com/jobs/4852277-0/environmental-education-specialist-permanent-forbes-forest-district,Commonwealth of Pennsylvania,"Westmoreland County, PA","Civil Service Permanent Full-Time - $50,836.00 - $77,321.00 Annually",Environmental,40.2930159,-79.4873204,"https://www.google.com/maps/search/?api=1&query=40.2930159,-79.4873204",50836.0,77321.0
Environmental Chemist 1,https://www.governmentjobs.com/jobs/4852244-0/environmental-chemist-1,Commonwealth of Pennsylvania,"Montgomery County, PA","Civil Service Permanent Full-Time - $58,035.00 - $88,235.00 Annually",Environmental,40.2154361,-75.3702305,"https://www.google.com/maps/search/?api=1&query=40.2154361,-75.3702305",58035.0,88235.0
Environmental Educator (part-time) Wilkerson Nature Preserve,https://www.governmentjobs.com/jobs/4857790-0/environmental-educator-part-time-wilkerson-nature-preserve,City of Raleigh North Carolina,"Raleigh, NC",Seasonal - $15.00 Hourly,Environmental,35.7803977,-78.6390989,"https://www.google.com/maps/search/?api=1&query=35.7803977,-78.6390989",,31200.0
Park and Recreation Ranger E (Warren Dunes State Park) - 2 Vacancies,https://www.governmentjobs.com/jobs/4779930-0/park-and-recreation-ranger-e-warren-dunes-state-park-2-vacancies,State of Michigan,"Sawyer, MI",Seasonal - $20.77 - $29.20 Hourly,Parks & Recreation,45.8731634,-91.1468287,"https://www.google.com/maps/search/?api=1&query=45.8731634,-91.1468287",43201.6,60736.0
College Intern Urban Forestry,https://www.governmentjobs.com/jobs/4858610-0/college-intern-urban-forestry,"City of Hamilton, Ohio","Hamilton, OH",Temporary Full Time - $14.92 - $21.01 Hourly,Forestry,39.2085354,-84.5501874,"https://www.google.com/maps/search/?api=1&query=39.2085354,-84.5501874",31033.6,43700.8
Environmental Engineer,https://www.governmentjobs.com/jobs/4852753-0/environmental-engineer,Commonwealth of Pennsylvania,"Luzerne County, PA","Civil Service Permanent Full-Time - $73,995.00 - $100,636.00 Annually",Environmental,41.1749635,-75.9695233,"https://www.google.com/maps/search/?api=1&query=41.1749635,-75.9695233",73995.0,100636.0
Solid Waste Specialist Trainee (Environmental Trainee),https://www.governmentjobs.com/jobs/4852991-0/solid-waste-specialist-trainee-environmental-trainee,Commonwealth of Pennsylvania,"Montgomery County, PA","Civil Service Permanent Full-Time - $44,890.00 - $67,678.00 Annually",Environmental,40.2154361,-75.3702305,"https://www.google.com/maps/search/?api=1&query=40.2154361,-75.3702305",44890.0,67678.0
Water Quality Analyst,https://www.governmentjobs.com/jobs/119486-1/water-quality-analyst,City of Tucson,"Tucson, AZ",- $21.96 - $32.94 Hourly,Environmental,32.2228765,-110.974847,"https://www.google.com/maps/search/?api=1&query=32.2228765,-110.974847",45676.8,68515.2
Land Dev Fee Tech I (21421),https://www.governmentjobs.com/jobs/119431-1/land-dev-fee-tech-i-21421,Full-Time - Negotiable,"FL, USA",,Natural Resources,27.7567667,-81.4639835,"https://www.google.com/maps/search/?api=1&query=27.7567667,-81.4639835",,
(SEA) Assistant Swim Coach I - Kings Landing,https://www.governmentjobs.com/jobs/119410-1/sea-assistant-swim-coach-i-kings-landing,"Calvert County, MD","Prince Frederick, MD",- $19.80 Hourly,Natural Resources,38.54060749999999,-76.58351285647468,"https://www.google.com/maps/search/?api=1&query=38.54060749999999,-76.58351285647468",,41184.0
"Office Specialist 2, Lakeview",https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Lakeview--ODOC--Warner-Creek-Correctional-Facility/Office-Specialist-2--Lakeview_REQ-175737,,Lakeview | ODOC | Warner Creek Correctional Facility,,Natural Resources,,,,,
Seasonal Park Ranger Assistant (Prineville Reservoir),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Prineville--OPRD--Mountain-Region---North-Central-District---MU-Prineville-Reservoir/Seasonal-Park-Ranger-Assistant--Prineville-Reservoir-_REQ-176483,,Prineville | OPRD | Mountain Region - North Central District - (MU) Prineville Reservoir,,Parks & Recreation,,,,,
Natural Resource Specialist 2 - Museum Curator,https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Mount-Vernon--OPRD--Mountain-Region---Eastern-District---MU-Clyde-Holliday/Natural-Resource-Specialist-2---Museum-Curator_REQ-175793,,Mount Vernon | OPRD | Mountain Region - Eastern District - (MU) Clyde Holliday,,Natural Resources,,,,,
Biological Science Assistant (Diamond Lake Seine) Hiring Two Temporary Positions,https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Roseburg--ODFW/Biological-Science-Assistant--Diamond-Lake-Seine--Hiring-Two-Temporary-Positions_REQ-176423,,Roseburg | ODFW,,Natural Resources,47.313494,-122.33931,"https://www.google.com/maps/search/?api=1&query=47.313494,-122.33931",,
Water Quality Compliance Program Manager,https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Salem--ODA--Headquarters-Office/Water-Quality-Compliance-Program-Manager_REQ-176425,,Salem | ODA | Headquarters Office,,Environmental,,,,,
Seasonal Park Ranger Assistant (Milo McIver),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Estacada--OPRD--Valleys-Region---Columbia-District---MU-Milo-McIver/Seasonal-Park-Ranger-Assistant--Milo-McIver-_REQ-176181,,Estacada | OPRD | Valleys Region - Columbia District - (MU) Milo McIver,,Parks & Recreation,,,,,
District Transfer Program Advisor (Natural Resource Specialist 3),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Salem--OWRD--North-Mall-Office-Building/District-Transfer-Program-Advisor--Natural-Resource-Specialist-3-_REQ-172986,,Salem | OWRD | North Mall Office Building,,Natural Resources,,,,,
Natural Resource Specialist 2 (Assistant Wildlife Biologist),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Roseburg--ODFW/Natural-Resource-Specialist-2--Assistant-Wildlife-Biologist-_REQ-176087,,Roseburg | ODFW,,Fish & Wildlife,47.313494,-122.33931,"https://www.google.com/maps/search/?api=1&query=47.313494,-122.33931",,
Natural Resource Specialist 2 (Assistant Fish Biologist),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/John-Day--ODFW/Natural-Resource-Specialist-2--Assistant-Fish-Biologist-_REQ-175861,,John Day | ODFW,,Fish & Wildlife,47.313494,-122.33931,"https://www.google.com/maps/search/?api=1&query=47.313494,-122.33931",,
Fish and Wildlife Technician (Habitat Technician),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Klamath-Falls--ODFW/Fish-and-Wildlife-Technician--Habitat-Technician-_REQ-176196-1,,Klamath Falls | ODFW,,Fish & Wildlife,47.313494,-122.33931,"https://www.google.com/maps/search/?api=1&query=47.313494,-122.33931",,
Onsite Resource Specialist (Natural Resource Specialist 3 – Environmental Health Specialist),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Medford--DEQ--Stewart-Avenue/Onsite-Resource-Specialist--Natural-Resource-Specialist-3---Environmental-Health-Specialist----Two-Openings_REQ-175508,,3 Locations,,Environmental,-1.0783405,37.8606315,"https://www.google.com/maps/search/?api=1&query=-1.0783405,37.8606315",,
Seasonal Park Ranger Assistant - Sunset Bay,https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Coos-Bay--OPRD--Coast-Region---South-Coast-District---MU-Sunset-Bay/Seasonal-Park-Ranger-Assistant---Sunset-Bay_REQ-176169,,Coos Bay | OPRD | Coast Region - South Coast District - (MU) Sunset Bay,,Parks & Recreation,,,,,
Seasonal Park Ranger Assistant (Beverly Beach State Park),https://oregon.wd5.myworkdayjobs.com/en-US/SOR_External_Career_Site/job/Newport--OPRD--Coast-Region---Central-Coast-District---MU-Beverly-Beach/Seasonal-Park-Ranger-Assistant--Beverly-Beach-State-Park-_REQ-173946,,Newport | OPRD | Coast Region - Central Coast District - (MU) Beverly Beach,,Parks & Recreation,,,,,
