Job Title,Job Link,Agency,Location,Pay,Section,latitude,longitude,google_maps_url,MinAnnualSalary,MaxAnnualSalary
Fish and Wildlife Technician 3/4 (PCN 111822),https://www.governmentjobs.com/jobs/4862838-0/fish-and-wildlife-technician-3-4-pcn-111822,State of Alaska,"Douglas, AK",Seasonal - $22.58 - $25.47 Hourly,Fish & Wildlife,58.27722865,-134.39615248374338,"https://www.google.com/maps/search/?api=1&query=58.27722865,-134.39615248374338",46966.399999999994,52977.6
GIS Technician III,https://www.governmentjobs.com/jobs/4853432-0/gis-technician-iii,City of Portland,"1120 SW 5th Ave, OR",Regular - $43.23 - $55.21 Hourly,GIS,45.5157563,-122.6790002,"https://www.google.com/maps/search/?api=1&query=45.5157563,-122.6790002",89918.4,114836.8
Hatchery Worker,https://www.governmentjobs.com/jobs/4860978-0/hatchery-worker,Imperial Irrigation District,"El Centro, CA","Full-time - $55,431.00 - $70,754.00 Annually",Fish & Wildlife,32.792,-115.563051,"https://www.google.com/maps/search/?api=1&query=32.792,-115.563051",55431.0,70754.0
GIS Analyst Senior,https://www.governmentjobs.com/jobs/4863750-0/gis-analyst-senior,City of Gresham,"Gresham, OR","Full Time - $84,046.00 - $107,378.00 Annually",GIS,45.4978623,-122.4329883,"https://www.google.com/maps/search/?api=1&query=45.4978623,-122.4329883",84046.0,107378.0
Park / Open Space Superintendent,https://www.governmentjobs.com/jobs/4863142-0/park-open-space-superintendent,County of Marin,"San Rafael, CA","Full Time, Regular - $135,116.80 - $164,195.20 Annually",Parks & Recreation,37.9747795,-122.5316686,"https://www.google.com/maps/search/?api=1&query=37.9747795,-122.5316686",135116.8,164195.2
Landscape Maintenance Technician,https://www.governmentjobs.com/jobs/4864640-0/landscape-maintenance-technician,City of Oxnard,"Oxnard 93030, CA","Full Time - $39,913.95 - $66,576.85 Annually",Parks & Recreation,34.1976308,-119.180381,"https://www.google.com/maps/search/?api=1&query=34.1976308,-119.180381",39913.95,66576.85
Water Quality Control Technician I/II,https://www.governmentjobs.com/jobs/4860924-0/water-quality-control-technician-i-ii,Full-Time - See Position Description,Norco,,Environmental,33.9323307,-117.5508901,"https://www.google.com/maps/search/?api=1&query=33.9323307,-117.5508901",,
Geospatial Analyst,https://www.governmentjobs.com/jobs/4860517-0/geospatial-analyst,State of Colorado,"Centennial, CO","Full Time - $66,768.00 - $106,656.00 Annually",GIS,39.579155,-104.8769227,"https://www.google.com/maps/search/?api=1&query=39.579155,-104.8769227",66768.0,106656.0
"CPW Program Assistant I / Invasive Species Program Assistant - (Denver, CO)",https://www.governmentjobs.com/jobs/4862886-0/cpw-program-assistant-i-invasive-species-program-assistant-denver-co,State of Colorado,"Denver, CO","Full Time - $52,344.00 - $68,052.00 Annually",Natural Resources,39.7392364,-104.984862,"https://www.google.com/maps/search/?api=1&query=39.7392364,-104.984862",52344.0,68052.0
Environmental Engineer,https://www.governmentjobs.com/jobs/4863882-0/environmental-engineer,State of Utah,"Salt Lake County, UT",Full Time - $25.33 - $52.69 Hourly,Environmental,40.6632297,-111.9103124,"https://www.google.com/maps/search/?api=1&query=40.6632297,-111.9103124",52686.399999999994,109595.2
Plant Maintenance Coordinator,https://www.governmentjobs.com/jobs/4837873-0/plant-maintenance-coordinator,State of Colorado,"Clear Creek County, CO","Full Time - $49,848.00 - $57,324.00 Annually",Parks & Recreation,39.6754591,-105.6435349,"https://www.google.com/maps/search/?api=1&query=39.6754591,-105.6435349",49848.0,57324.0
Habitat Restoration Biologist and Impact Analysis Biologist (2 positions),https://www.governmentjobs.com/jobs/4857032-0/habitat-restoration-biologist-and-impact-analysis-biologist-2-positions,State of Utah,"Weber County, UT",Full Time - $23.96 - $27.91 Hourly,Natural Resources,41.2728039,-111.8860648,"https://www.google.com/maps/search/?api=1&query=41.2728039,-111.8860648",49836.8,58052.8
Weed & Pest Technician,https://www.governmentjobs.com/jobs/4864516-0/weed-pest-technician,City of Riverton,"Riverton, WY","Full-time - $37,190.40 - $47,944.00 Annually",Natural Resources,43.0247245,-108.380727,"https://www.google.com/maps/search/?api=1&query=43.0247245,-108.380727",37190.4,47944.0
TEMPORARY Area 14 Wildlife Property Technician - Kit Carson County,https://www.governmentjobs.com/jobs/4863704-0/temporary-area-14-wildlife-property-technician-kit-carson-county,State of Colorado,"Kit Carson County, CO",Temporary (9 months or less) - $16.50 Hourly,Fish & Wildlife,39.3080613,-102.62075,"https://www.google.com/maps/search/?api=1&query=39.3080613,-102.62075",,34320.0
GIS Analyst,https://www.governmentjobs.com/jobs/4863542-0/gis-analyst,City of De Pere,"De Pere, WI","Full-Time – Non-Exempt - $60,715.20 - $86,736.00 Annually",GIS,44.4493584,-88.0599986,"https://www.google.com/maps/search/?api=1&query=44.4493584,-88.0599986",60715.2,86736.0
Natural Resources Specialist (Restoration and Resilience),https://www.governmentjobs.com/jobs/4862811-0/natural-resources-specialist-restoration-and-resilience,Travis County,"Austin, TX","Full Time - $58,671.38 - $72,752.51 Annually",Natural Resources,30.2711286,-97.7436995,"https://www.google.com/maps/search/?api=1&query=30.2711286,-97.7436995",58671.38,72752.51
Water Plant Summer 2025 Maintenance Laborer,https://www.governmentjobs.com/jobs/4864269-0/water-plant-summer-2025-maintenance-laborer,City of Ames,"50010, IA",Temporary - $15.21 Hourly,Water,42.028285138825446,-93.61572899094617,"https://www.google.com/maps/search/?api=1&query=42.028285138825446,-93.61572899094617",,31636.800000000003
Natural Resources Specialist Senior,https://www.governmentjobs.com/jobs/4860861-0/natural-resources-specialist-senior,Travis County,"Austin, TX","Full Time - $61,018.23 - $76,272.79 Annually",Natural Resources,30.2711286,-97.7436995,"https://www.google.com/maps/search/?api=1&query=30.2711286,-97.7436995",61018.23,76272.79
Seasonal AIS Watercraft Decontamination Specialist - Lake Minnetonka/Carver Park Reserve,https://www.governmentjobs.com/jobs/4860252-0/seasonal-ais-watercraft-decontamination-specialist-lake-minnetonka-carver-park,Three Rivers Park District,"Lake Minnetonka Regional Park - Minnetrista and Carver Park Reserve - Victoria, MN",Seasonal - $16.50 - $18.00 Hourly,Parks & Recreation,,,,34320.0,37440.0
Seasonal Attendant - AIS Watercaft Inspector - Lake Minnetonka/Carver Park Reserve,https://www.governmentjobs.com/jobs/4860244-0/seasonal-attendant-ais-watercaft-inspector-lake-minnetonka-carver-park-reserv,Three Rivers Park District,"Lake Minnetonka Regional Park - Minnetrista and Carver Park Reserve - Victoria, MN",Seasonal - $14.00 - $15.50 Hourly,Parks & Recreation,,,,29120.0,32240.0
GIS Specialist,https://www.governmentjobs.com/jobs/4863377-0/gis-specialist,Regular Full-time - Depends on Qualifications,"Houston, TX",,GIS,29.7589382,-95.3676974,"https://www.google.com/maps/search/?api=1&query=29.7589382,-95.3676974",,
Temporary Park Naturalist,https://www.governmentjobs.com/jobs/4864684-0/temporary-park-naturalist,6 month Temp - Depends on Qualifications,"Eagan, MN",,Parks & Recreation,44.818173,-93.1659179,"https://www.google.com/maps/search/?api=1&query=44.818173,-93.1659179",,
Water Treatment Plant Maintenance Technician,https://www.governmentjobs.com/jobs/4791195-0/water-treatment-plant-maintenance-technician,Full-Time - Depends on Qualifications,"Williston, ND",,Water,48.1465457,-103.621814,"https://www.google.com/maps/search/?api=1&query=48.1465457,-103.621814",,
Seasonal Shift Leader - Lake Minnetonka/Carver Park Reserve,https://www.governmentjobs.com/jobs/4860192-0/seasonal-shift-leader-lake-minnetonka-carver-park-reserve,Three Rivers Park District,"Lake Minnetonka Regional Park - Minnetrista and Carver Park Reserve - Victoria, MN",Seasonal - $18.00 - $19.50 Hourly,Parks & Recreation,,,,37440.0,40560.0
Seasonal Lifeguard - Lake Minnetonka Regional Park,https://www.governmentjobs.com/jobs/4860294-0/seasonal-lifeguard-lake-minnetonka-regional-park,Three Rivers Park District,"Lake Minnetonka Regional Park - Minnetrista, MN",Seasonal - $16.50 - $18.00 Hourly,Parks & Recreation,44.8977821,-93.67154793806293,"https://www.google.com/maps/search/?api=1&query=44.8977821,-93.67154793806293",34320.0,37440.0
Seasonal Head Lifeguard - Lake Minnetonka Regional Park,https://www.governmentjobs.com/jobs/4860225-0/seasonal-head-lifeguard-lake-minnetonka-regional-park,Three Rivers Park District,"Lake Minnetonka Regional Park - Minnetrista, MN",Seasonal - $18.50 - $20.00 Hourly,Parks & Recreation,44.8977821,-93.67154793806293,"https://www.google.com/maps/search/?api=1&query=44.8977821,-93.67154793806293",38480.0,41600.0
Seasonal Attendant - Lake Minnetonka/Carver Park Reserve,https://www.governmentjobs.com/jobs/4860279-0/seasonal-attendant-lake-minnetonka-carver-park-reserve,Three Rivers Park District,"Lake Minnetonka Regional Park - Minnetrista and Carver Park Reserve - Victoria, MN",Seasonal - $13.50 - $15.00 Hourly,Parks & Recreation,,,,28080.0,31200.0
Seasonal Attendant  - Cleary Lake Regional Park,https://www.governmentjobs.com/jobs/4861441-0/seasonal-attendant-cleary-lake-regional-park,Three Rivers Park District,"Cleary Lake Regional Park - Prior Lake, MN",Seasonal - $13.50 - $15.00 Hourly,Parks & Recreation,44.6881936,-93.39173380046594,"https://www.google.com/maps/search/?api=1&query=44.6881936,-93.39173380046594",28080.0,31200.0
Seasonal Attendant - Cedar Lake Farms,https://www.governmentjobs.com/jobs/4861495-0/seasonal-attendant-cedar-lake-farms,Three Rivers Park District,"Cedar Lake Farm Regional Park - New Prague, MN",Seasonal - $13.50 - $15.00 Hourly,Parks & Recreation,44.5745505,-93.53046155456977,"https://www.google.com/maps/search/?api=1&query=44.5745505,-93.53046155456977",28080.0,31200.0
Environmental Hygiene Officer,https://www.governmentjobs.com/jobs/4864331-0/environmental-hygiene-officer,Minnesota City Jobs,University of Minnesota,FT - $48.08 - $56.25 Hourly,Environmental,44.9863392,-93.17945580218503,"https://www.google.com/maps/search/?api=1&query=44.9863392,-93.17945580218503",100006.4,117000.0
Forest Ranger I - Area 13,https://www.governmentjobs.com/jobs/4856193-0/forest-ranger-i-area-13,State of Mississippi,"59 - PRENTISS COUNTY, MS","Full-Time - $30,000.00 - $40,990.07 Annually",Parks & Recreation,31.566685357607916,-91.38845553261199,"https://www.google.com/maps/search/?api=1&query=31.566685357607916,-91.38845553261199",30000.0,40990.07
Seasonal Shift Leader - AIS Decontamination Specialist - Lake Minnetonka/Carver Park Reserve,https://www.governmentjobs.com/jobs/4860207-0/seasonal-shift-leader-ais-decontamination-specialist-lake-minnetonka-carver-p,Three Rivers Park District,"Lake Minnetonka Regional Park - Minnetrista and Carver Park Reserve - Victoria, MN",Seasonal - $18.50 - $20.00 Hourly,Parks & Recreation,,,,38480.0,41600.0
Assistant County Ranger,https://www.governmentjobs.com/jobs/4860419-0/assistant-county-ranger,State of North Carolina,"Edgecombe County, NC","Permanent Full-Time - $35,984.00 - $62,971.00 Annually",Parks & Recreation,35.9213841,-77.5971695,"https://www.google.com/maps/search/?api=1&query=35.9213841,-77.5971695",35984.0,62971.0
