Job Title,Job Link,Agency,Location,Pay,Section,Posted Date,latitude,longitude,MinAnnualSalary,MaxAnnualSalary
Habitat Restoration Intern,https://www.governmentjobs.com/jobs/4869280-0/habitat-restoration-intern,City of Albany (CA),"Albany, CA","Temporary/Extra Help (seasonal, on-call, event) - $16.50 - $21.06 Hourly",Natural Resources,,37.887162,-122.29835,34320,43804.8
Park Ranger (Part-Time),https://www.governmentjobs.com/jobs/4866918-0/park-ranger-part-time,Town of Davie,"Davie, FL",Part-Time - $19.98 Hourly,Parks & Recreation,,26.062867,-80.23310,,41558.4
Open Space & Trails Manager,https://www.governmentjobs.com/jobs/120108-1/open-space-trails-manager,"Eagle, Town of (CO)","Eagle, CO","- $103,120.00 - $128,900.00 Annually",Parks & Recreation,,39.616112,-106.71728,103120,128900
Parks Trailhead Maintenance Tech-I (On-call),https://www.governmentjobs.com/jobs/4867269-0/parks-trailhead-maintenance-tech-i-on-call,Matanuska-Susitna Borough,"Jim Creek Park Maintenance Facility, AK",Thousand (1000) Hour - $21.27 Hourly,Parks & Recreation,,61.581545,-149.22703,,44241.6
Puget Sound Sampling Unit Biologist - Fish and Wildlife Biologist 3 - Permanent - *01896-25,https://www.governmentjobs.com/jobs/4864247-0/puget-sound-sampling-unit-biologist-fish-and-wildlife-biologist-3-permanent,State of Washington,"Thurston County – Olympia, WA","Full Time - Permanent - $5,241.00 - $7,042.00 Monthly",Fish & Wildlife,,47.043567,-122.85858,5241,7042
Outdoor Maintenance Attendant (PT Maintenance Support),https://www.governmentjobs.com/jobs/4849303-0/outdoor-maintenance-attendant-pt-maintenance-support,City of Colorado Springs,"Recreation and Cultural Services - City of Colorado Springs, CO",Seasonal - $21.00 Hourly,Parks & Recreation,,38.814943,-104.85379,,43680
Service Manager (Outdoor Pools),https://www.governmentjobs.com/jobs/4851066-0/service-manager-outdoor-pools,City of Dublin,"Dublin, OH",Seasonal - $20.00 Hourly,Parks & Recreation,,40.099601,-83.11356,,41600
Park Ranger Seasonal,https://www.governmentjobs.com/jobs/4863938-0/park-ranger-seasonal,City of Kalamazoo,"Kalamazoo, MI",Temporary - $15.00 Hourly,Parks & Recreation,,42.291707,-85.58723,,31200
Naturalist II - Parks and Recreation,https://www.governmentjobs.com/jobs/119935-1/naturalist-ii-parks-and-recreation,Full-Time - See Position Description,"Prince Frederick, MD",N/A,Parks & Recreation,,38.540608,-76.58351,,
Periwinkle Outdoor Explorers Substitute Teacher,https://www.governmentjobs.com/jobs/4866139-0/periwinkle-outdoor-explorers-substitute-teacher,City of Kirkland,"Kirkland, WA",Seasonal - $30.81 - $36.78 Hourly,Parks & Recreation,,47.676538,-122.20708,64084.8,76502.4
Noxious Weed Specialist,https://www.governmentjobs.com/jobs/4865577-0/noxious-weed-specialist,County of Mason (WA),"Mason County, WA",Extra Help - $17.34 - $22.44 Hourly,Natural Resources,,47.342964,-123.18228,36067.2,46675.2
Summer Nature Camp Instructor,https://www.governmentjobs.com/jobs/4866152-0/summer-nature-camp-instructor,City of Kirkland,"Kirkland, WA",Seasonal - $22.18 - $26.48 Hourly,Parks & Recreation,,47.676538,-122.20708,46134.4,55078.4
Supervising Park Ranger - Substitute,https://www.governmentjobs.com/jobs/4865391-0/supervising-park-ranger-substitute,County of San Luis Obispo,"All Locations - San Luis Obispo County, CA","Permanent - Hourly - $76,107.20 - $97,136.00 Annually",Parks & Recreation,,35.351996,-120.40060,76107.2,97136
"CPW WILDLIFE MANAGER III / Habitat Biologist (Delta, CO)",https://www.governmentjobs.com/jobs/4865215-0/cpw-wildlife-manager-iii-habitat-biologist-delta-co,State of Colorado,"Statewide, CO","Full Time - $63,624.00 - $82,716.00 Annually",Natural Resources,,47.391554,-122.23002,63624,82716
Environmental Educator - P/T,https://www.governmentjobs.com/jobs/4863770-0/environmental-educator-p-t,City of Boca Raton,"Boca Raton, FL",Part-Time - $19.41 - $25.20 Hourly,Environmental,,26.358689,-80.08310,40372.8,52416
Fish and Wildlife Technician 2 - Commerce - Natural Resources - Pocahontas Co.,https://www.governmentjobs.com/jobs/4865897-0/fish-and-wildlife-technician-2-commerce-natural-resources-pocahontas-co,West Virginia,"Pocahontas County, WV","Full-Time Permanent - $32,862.00 - $56,373.00 Annually",Fish & Wildlife,,38.302223,-80.02869,32862,56373
Fish and Wildlife Technician 2 - Commerce - Natural Resources - Randolph Co.,https://www.governmentjobs.com/jobs/4865929-0/fish-and-wildlife-technician-2-commerce-natural-resources-randolph-co,West Virginia,"Randolph County, WV","Full-Time Permanent - $32,862.00 - $56,373.00 Annually",Fish & Wildlife,,38.808600,-79.87253,32862,56373
"Parks, Recreation, and Conservation Lands Asset and Data Manager",https://www.governmentjobs.com/jobs/4648654-0/parks-recreation-and-conservation-lands-asset-and-data-manager,Indian River County Board of County Commissioners,"Vero Beach, FL","Full Time - $68,291.34 - $109,266.04 Annually",Parks & Recreation,,27.638716,-80.39754,68291.34,109266.04
Parks & Open Space - Summer 2025 Internships,https://www.governmentjobs.com/jobs/119892-1/parks-open-space-summer-2025-internships,Town of Erie,"Erie, CO",Temporary - $25.00 Hourly,Parks & Recreation,,40.050262,-105.04998,,52000
Park Ranger I (21568),https://www.governmentjobs.com/jobs/119868-1/park-ranger-i-21568,Full-Time - Negotiable,"Titusville, FL",N/A,Parks & Recreation,,28.612624,-80.80795,,
Environmental Education Specialist (Seasonal)- Cowans Gap State Park Complex,https://www.governmentjobs.com/jobs/4867259-0/environmental-education-specialist-seasonal-cowans-gap-state-park-complex,Commonwealth of Pennsylvania,"Fulton County, PA",Civil Service Seasonal Full-Time - $25.99 Hourly,Environmental,,39.915966,-78.12996,,54059.2
"Fish and Wildlife Technician 2 (PCNs 111532, 111658)",https://www.governmentjobs.com/jobs/4871152-0/fish-and-wildlife-technician-2-pcns-111532-111658,State of Alaska,"Cordova, AK",Seasonal - $21.25 Hourly,Fish & Wildlife,,60.544339,-145.75951,,44200
Fish and Wildlife Technician 3 (Kenai and Kasilof Sonar FWT 3 - PCN 111177),https://www.governmentjobs.com/jobs/4869958-0/fish-and-wildlife-technician-3-kenai-and-kasilof-sonar-fwt-3-pcn-111177,State of Alaska,"Soldotna, AK",Seasonal - $21.50 Hourly,Fish & Wildlife,,60.484723,-151.06535,,44720
Environmental Scientist III,https://www.governmentjobs.com/jobs/4862850-0/environmental-scientist-iii,King County,"Renton, WA","Career Service, Full Time, 40 hrs/week - $52.24 - $66.21 Hourly",Environmental,,47.479908,-122.20345,108659.2,137716.8
Environmental Scientist II,https://www.governmentjobs.com/jobs/4862829-0/environmental-scientist-ii,King County,"Renton, WA","Career Service, Full Time, 40 hrs/week - $46.40 - $58.81 Hourly",Environmental,,47.479908,-122.20345,96512,122324.8
Natural Resources Intern,https://www.governmentjobs.com/jobs/4860612-0/natural-resources-intern,City of Tacoma,"Tacoma, WA",Classified - $16.72 - $20.33 Hourly,Natural Resources,,47.245501,-122.43833,34777.6,42286.4
Environmental Biologist,https://www.governmentjobs.com/jobs/4865788-0/environmental-biologist,City of Springfield (MO),"Springfield, MO","Full Time - $52,561.60 - $88,067.20 Annually",Environmental,,37.208173,-93.29227,52561.6,88067.2
BIOLOGIST SUPERVISOR -PINEVILLE / RAPIDES,https://www.governmentjobs.com/jobs/4869104-0/biologist-supervisor-pineville-rapides,State of Louisiana,"Pineville, LA","Classified - $4,458.00 - $8,027.00 Monthly",GIS,,31.322404,-92.43430,4458,8027
Environmental/Natural Resources Specialist II,https://www.governmentjobs.com/jobs/4868816-0/environmental-natural-resources-specialist-ii,State of Mississippi,"24 - HARRISON COUNTY, MS","Full-Time - $40,286.40 - $44,315.04 Annually",Environmental,,30.455339,-89.13131,40286.4,44315.04
BIOLOGIST MANGER - FOREST HILL/RAPIDES,https://www.governmentjobs.com/jobs/4868443-0/biologist-manger-forest-hill-rapides,State of Louisiana,"Forest Hill, LA","Classified - $4,770.00 - $8,589.00 Monthly",GIS,,31.041856,-92.53125,4770,8589
